S1,S2,S3,S4,S5,S6,S7,S8,Gesture_Class
2.5,-0.375,-1.0,0.125,1.25,6.0,0.625,3.125,3
0.125,-1.375,-2.125,-2.5,1.125,1.25,-1.25,-1.375,3
-5.625,-2.25,-1.0,-1.375,0.625,3.75,-2.625,2.125,0
5.5,0.125,1.625,1.5,-0.25,-7.125,-2.375,0.125,2
1.625,6.25,1.625,1.625,1.125,-3.25,-0.75,0.5,0
-0.875,0.375,1.0,0.75,2.5,-1.5,0.75,-0.25,0
0.5,-0.875,0.0,-1.75,0.5,3.0,-0.875,0.375,0
2.0,-1.625,-1.625,-1.75,-4.0,2.625,-3.375,0.375,3
-0.125,0.5,0.0,0.875,-0.875,-1.5,-1.625,-1.875,2
2.375,1.5,-0.375,-0.375,-3.0,-1.0,-0.75,-1.5,1
-4.625,-5.125,-0.125,0.25,-1.125,2.25,-0.25,-4.75,2
-1.0,-0.625,-1.0,-6.625,4.75,5.375,0.125,-1.75,3
-0.625,-1.875,-0.75,-0.625,-4.0,-9.75,-2.0,4.25,3
-3.75,-2.0,0.125,-1.25,1.0,-6.5,1.0,0.25,3
-0.875,-0.375,0.125,-0.625,-0.5,4.375,-0.5,-2.25,0
2.625,0.0,-0.625,0.0,-1.625,4.5,0.875,-0.625,3
-6.25,-0.25,1.625,-0.5,5.0,9.5,0.125,2.125,2
-4.875,-1.5,-0.125,-1.25,2.5,-2.125,-1.625,-5.125,2
-1.375,-10.0,-1.875,-2.125,0.625,-2.5,-1.25,1.25,2
-1.25,-1.375,-1.375,-1.5,-0.25,10.375,0.5,-1.875,3
-1.375,-1.25,-1.125,-0.625,-0.25,1.125,0.125,-0.125,1
-5.5,-1.375,0.375,0.375,2.25,0.375,-3.625,-7.125,3
-0.375,-0.75,-0.5,-0.25,4.0,0.25,-0.375,-0.5,1
-1.25,-6.0,-1.375,-0.5,0.625,-0.375,-2.0,-3.75,2
4.5,-0.25,-1.25,-1.375,5.125,4.625,0.625,-0.25,1
-2.25,-1.25,-0.875,-0.125,3.125,-2.5,-0.5,-1.125,1
-3.0,-1.375,-1.375,-1.0,-7.5,-2.875,-0.75,-0.125,1
1.75,-3.25,-0.5,-1.25,-1.375,-3.75,-1.375,-0.25,2
6.875,0.0,-0.875,-0.75,7.5,7.875,24.125,8.5,0
-1.875,-0.625,-0.375,-0.125,-0.25,-4.125,-0.5,-1.75,3
-0.75,4.0,-1.125,-1.125,1.5,-2.125,9.25,2.25,0
-7.25,-9.125,-0.125,0.25,0.25,1.5,0.125,-1.125,2
-1.75,-1.5,-1.125,-1.625,-3.375,-7.125,-2.625,-3.375,3
2.125,2.875,-0.5,-1.625,0.875,7.25,-0.25,-2.25,2
1.125,-2.75,-1.875,-3.0,-2.0,-1.625,-20.625,-7.875,0
-3.875,0.375,0.375,0.75,2.5,2.625,-1.75,-1.25,0
9.0,4.75,-0.75,-2.125,-3.625,0.375,-1.0,2.5,2
-7.375,-1.75,-1.0,0.125,-1.125,0.125,-16.625,-7.125,0
-1.75,-1.375,-1.375,-1.0,0.625,-4.5,-1.625,-2.875,3
-0.75,0.0,-0.875,-1.0,-1.625,-14.0,-8.0,-4.125,3
1.0,-0.75,-0.75,-1.0,0.125,0.875,-0.5,-0.5,1
-1.875,3.25,-0.625,-1.0,1.25,-6.875,-1.0,-1.125,2
-7.5,-1.0,3.125,4.625,-0.625,-9.5,-23.25,-10.25,0
-3.75,-13.125,-2.5,1.625,0.5,-1.25,-1.25,5.125,0
-0.5,-1.75,-1.125,-0.5,-3.5,-3.0,-1.25,2.25,2
-3.5,2.75,1.25,3.125,-2.5,1.625,0.0,-1.375,0
-2.5,-0.5,0.125,-0.75,-2.125,-4.5,-1.125,-1.5,1
-0.625,-0.5,-1.25,-1.375,-0.125,-6.375,-1.625,1.5,3
1.125,-1.625,-0.625,-0.125,2.5,-1.0,-2.25,-4.75,0
-4.75,-0.25,0.125,-0.375,0.25,-14.875,-0.75,4.0,3
-0.75,-5.0,-2.375,-4.25,-0.25,-1.375,3.25,-0.125,0
-4.125,-1.0,-1.875,-0.625,-2.75,-2.5,-7.375,-0.75,0
-2.5,-2.0,-1.625,-2.125,-4.625,0.0,-0.75,-1.75,2
-1.5,-7.0,-0.625,0.375,-0.125,-9.0,-0.875,-0.375,2
-0.125,-3.5,-1.0,0.0,3.375,-2.125,-1.625,-0.625,2
-3.0,-3.125,-1.75,-0.875,1.25,5.0,3.0,2.0,3
