time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
35482,2e-05,3e-05,2e-05,0.0,-2e-05,0.0,-1e-05,2e-05,1,1
5838,0.00011,-0.00012,-6e-05,7e-05,-8e-05,-0.00028,-0.00017,-7e-05,2,1
35482,2e-05,3e-05,2e-05,0.0,-2e-05,0.0,-1e-05,2e-05,1,1
45012,-0.00017,-0.00035,-6e-05,8e-05,0.00012,-9e-05,9e-05,0.00017,3,1
35482,2e-05,3e-05,2e-05,0.0,-2e-05,0.0,-1e-05,2e-05,1,1
18717,-2e-05,-1e-05,-3e-05,1e-05,-0.00021,0.00022,2e-05,-7e-05,4,1
35482,2e-05,3e-05,2e-05,0.0,-2e-05,0.0,-1e-05,2e-05,1,1
23318,-1e-05,1e-05,6e-05,0.0005,0.00064,0.00025,3e-05,-2e-05,5,1
35482,2e-05,3e-05,2e-05,0.0,-2e-05,0.0,-1e-05,2e-05,1,1
27551,-0.00013,-0.0002,-2e-05,-1e-05,-9e-05,1e-05,3e-05,7e-05,6,1
5838,0.00011,-0.00012,-6e-05,7e-05,-8e-05,-0.00028,-0.00017,-7e-05,2,1
45012,-0.00017,-0.00035,-6e-05,8e-05,0.00012,-9e-05,9e-05,0.00017,3,1
5838,0.00011,-0.00012,-6e-05,7e-05,-8e-05,-0.00028,-0.00017,-7e-05,2,1
18717,-2e-05,-1e-05,-3e-05,1e-05,-0.00021,0.00022,2e-05,-7e-05,4,1
5838,0.00011,-0.00012,-6e-05,7e-05,-8e-05,-0.00028,-0.00017,-7e-05,2,1
23318,-1e-05,1e-05,6e-05,0.0005,0.00064,0.00025,3e-05,-2e-05,5,1
5838,0.00011,-0.00012,-6e-05,7e-05,-8e-05,-0.00028,-0.00017,-7e-05,2,1
27551,-0.00013,-0.0002,-2e-05,-1e-05,-9e-05,1e-05,3e-05,7e-05,6,1
45012,-0.00017,-0.00035,-6e-05,8e-05,0.00012,-9e-05,9e-05,0.00017,3,1
18717,-2e-05,-1e-05,-3e-05,1e-05,-0.00021,0.00022,2e-05,-7e-05,4,1
45012,-0.00017,-0.00035,-6e-05,8e-05,0.00012,-9e-05,9e-05,0.00017,3,1
23318,-1e-05,1e-05,6e-05,0.0005,0.00064,0.00025,3e-05,-2e-05,5,1
45012,-0.00017,-0.00035,-6e-05,8e-05,0.00012,-9e-05,9e-05,0.00017,3,1
27551,-0.00013,-0.0002,-2e-05,-1e-05,-9e-05,1e-05,3e-05,7e-05,6,1
18717,-2e-05,-1e-05,-3e-05,1e-05,-0.00021,0.00022,2e-05,-7e-05,4,1
23318,-1e-05,1e-05,6e-05,0.0005,0.00064,0.00025,3e-05,-2e-05,5,1
18717,-2e-05,-1e-05,-3e-05,1e-05,-0.00021,0.00022,2e-05,-7e-05,4,1
27551,-0.00013,-0.0002,-2e-05,-1e-05,-9e-05,1e-05,3e-05,7e-05,6,1
23318,-1e-05,1e-05,6e-05,0.0005,0.00064,0.00025,3e-05,-2e-05,5,1
27551,-0.00013,-0.0002,-2e-05,-1e-05,-9e-05,1e-05,3e-05,7e-05,6,1
45024,-3e-05,-2e-05,-1e-05,-2e-05,-1e-05,2e-05,0.0,-2e-05,1,2
39526,-3e-05,-1e-05,4e-05,-0.00019,-4e-05,-3e-05,0.0,-3e-05,2,2
45024,-3e-05,-2e-05,-1e-05,-2e-05,-1e-05,2e-05,0.0,-2e-05,1,2
53460,0.00084,0.00034,7e-05,2e-05,0.00017,0.00013,0.00051,0.00039,3,2
