MAV,RMS,WL,ZC,Gesture_Class
9.78125,18.666480653835098,778.0,20,3
4.671875,7.465545860819556,378.0,30,3
10.453125,16.66723957348667,1033.0,34,0
10.890625,16.123061899031462,994.0,28,2
18.4375,24.759467886043108,1514.0,26,0
14.21875,27.33244409122609,1332.0,25,0
15.953125,24.494578481778372,1303.0,16,0
10.921875,16.364500450670654,869.0,21,3
10.453125,14.755825120947998,920.0,31,2
9.671875,17.346199151399134,765.0,31,1
9.6875,13.501157357797146,830.0,27,2
14.40625,21.071307505705477,1145.0,20,3
10.078125,15.888773552417442,860.0,27,3
7.796875,11.917030880215089,580.0,26,3
12.734375,17.020667583852287,1011.0,29,0
9.140625,16.727129909222324,785.0,24,3
11.109375,15.95648379186342,951.0,28,2
10.671875,16.15501083255595,946.0,28,2
17.75,25.674038443532798,1333.0,27,2
9.09375,15.968719422671311,836.0,27,3
7.84375,12.933725294747836,655.0,27,1
12.25,18.965429075030176,1014.0,27,3
6.09375,9.529559276272959,552.0,34,1
11.546875,17.21327612629275,838.0,21,2
9.9375,15.403936185274205,845.0,26,1
6.6875,11.243053410884428,552.0,22,1
4.71875,7.312232901104833,376.0,26,1
8.28125,12.457427503300993,777.0,27,2
26.5,42.68708821177664,1772.0,25,0
6.640625,10.633819868701933,452.0,20,3
18.578125,29.54948180594712,1557.0,30,0
11.0625,18.54302429486625,1024.0,26,2
5.59375,9.503288904374106,496.0,31,3
11.0,18.36777068672189,1051.0,29,2
14.609375,25.660950391596955,1266.0,25,0
8.875,16.054594358002323,912.0,39,0
10.921875,15.397341491309465,900.0,27,2
11.34375,16.627349458046524,951.0,28,0
5.734375,8.698958270965553,420.0,24,3
7.453125,12.600223212308581,512.0,18,3
8.03125,15.125516520106016,666.0,23,1
6.15625,8.96172416446746,558.0,32,2
30.015625,44.851665242218154,2328.0,26,0
21.859375,30.360593291304436,1780.0,26,0
8.734375,12.567940364276081,726.0,28,2
19.953125,27.082339725363465,1519.0,23,0
9.890625,16.780289776997297,864.0,29,1
6.640625,9.98044963916957,586.0,30,3
9.3125,13.550830232867652,712.0,24,0
9.078125,14.077353266860927,599.0,21,3
10.359375,15.732629309813412,933.0,27,0
12.53125,23.45540982374855,1042.0,26,0
9.015625,13.370326286220543,811.0,28,2
9.234375,14.556463341072927,854.0,30,2
11.046875,16.28313928577656,799.0,21,2
10.875,15.23052034567434,754.0,26,3
9.125,14.45791305825291,742.0,28,1
6.515625,12.100490692529787,522.0,28,1
6.125,8.805183132678161,509.0,27,1
9.53125,14.2905125870278,817.0,26,2
10.109375,14.584345202990773,920.0,37,0
10.734375,15.806940722353582,910.0,29,2
12.265625,17.186931808790074,961.0,29,2
10.640625,16.637213558766383,852.0,19,1
9.234375,14.707034881307653,681.0,19,3
9.953125,14.744172577666065,790.0,25,1
11.328125,16.98942685907915,951.0,22,2
8.0,13.346347815039138,663.0,26,3
11.953125,19.514818087801896,1248.0,41,0
7.90625,12.468710839537502,640.0,34,1
8.953125,15.921192637487934,752.0,29,1
8.109375,13.290621693510053,683.0,30,1
15.96875,22.54301443906737,1237.0,21,3
14.15625,22.140884128688267,1124.0,25,2
8.640625,14.71659352567706,671.0,23,3
8.3125,12.114041439585717,747.0,34,0
12.078125,16.706566822659884,771.0,22,0
18.921875,29.3723403051238,1709.0,31,0
4.78125,7.984359711335656,377.0,24,1
9.96875,17.392527130926087,860.0,23,3
12.0625,18.74083109149645,1093.0,32,3
14.34375,21.515256215067485,1194.0,30,2
7.53125,11.69802333729934,587.0,28,2
9.234375,14.016173693273068,797.0,28,0
25.84375,40.3987932988103,1947.0,27,0
15.5625,25.27597673681474,1288.0,24,2
5.78125,8.633148324916004,462.0,29,3
10.171875,14.526376871057696,778.0,30,2
16.9375,26.295793389818076,1294.0,27,2
10.5,15.07999502652438,769.0,24,1
11.140625,15.986810970296734,1074.0,34,2
9.234375,19.26014343144931,847.0,26,3
6.296875,9.816281118631434,476.0,28,3
10.609375,18.578801764376518,821.0,26,3
16.59375,30.18277654557314,1273.0,21,0
7.109375,9.7971615787431,615.0,31,2
10.453125,15.08672843926078,861.0,26,2
7.328125,11.82092953197844,602.0,29,3
11.34375,15.41813056112835,898.0,23,2
10.859375,14.27464973300571,854.0,25,2
10.0,15.305227865013967,862.0,30,2
7.828125,12.378787299247048,597.0,21,3
7.390625,11.85788239948432,653.0,29,1
7.4375,14.076798286542292,585.0,25,3
7.8125,12.863465707187935,630.0,26,3
8.765625,15.113632091592015,708.0,25,3
8.703125,13.950246413594277,824.0,30,2
9.390625,13.51792791074135,710.0,24,1
13.109375,24.140539037063775,1039.0,24,1
11.625,19.44623999646204,1072.0,33,0
8.484375,12.611378790600178,696.0,29,1
14.296875,24.080918275680435,1246.0,14,0
25.28125,34.13575837739657,1941.0,23,0
4.671875,7.46345261926409,415.0,29,2
15.078125,21.551899568251518,1302.0,32,0
8.84375,12.537443918119834,797.0,27,2
13.40625,17.93564885918544,1043.0,27,2
9.046875,11.81035033349985,841.0,36,0
7.59375,10.237797614721636,657.0,33,2
13.984375,24.113339150768812,1126.0,20,0
18.71875,28.474769533746887,1506.0,26,0
8.609375,14.57469982538234,646.0,27,1
11.796875,18.06282439155073,970.0,28,1
12.1875,19.288111623484554,874.0,15,3
8.1875,13.311179511974137,581.0,16,3
9.390625,15.807929181268493,670.0,24,0
14.21875,18.34393632784414,1246.0,30,3
8.65625,11.578536176909411,652.0,28,0
9.890625,19.702870983691692,771.0,29,1
7.03125,11.627015954233485,591.0,26,1
8.59375,13.104150105977876,756.0,30,2
5.625,7.964766161036995,504.0,29,1
8.171875,16.3988376112455,674.0,29,3
7.515625,11.101097918674531,571.0,26,3
39.046875,55.09182675315822,2485.0,20,0
11.84375,15.654472204453269,944.0,24,0
9.015625,14.727206965341392,773.0,33,2
9.46875,16.1757920980705,849.0,29,3
11.0625,18.3192180509977,818.0,24,1
17.859375,25.52664049576442,1595.0,26,3
7.578125,11.885521654517314,627.0,30,1
7.8125,13.104150105977876,645.0,25,1
24.453125,38.25224666604564,1705.0,22,0
11.09375,17.052309227784956,872.0,29,2
7.96875,13.196827270219156,628.0,23,3
16.359375,22.883195253285763,1272.0,24,2
7.578125,13.79141490203235,608.0,24,1
17.328125,27.726623036352624,1529.0,34,0
6.421875,9.879745695107744,519.0,21,1
11.765625,15.9359067831109,797.0,18,3
6.609375,11.364005675816957,571.0,25,3
