Model Eğitim Logları
==================================================

Veri Yükleme Tamamlandı
Toplam Veri Sayısı: 4237907
Veri Temizleme Atlandı
Bant Geçiş Filtresi Uygulandı: 20-450 Hz
Sınıf Dağılımı (Dengeleme Sonrası):
class
0    2725157
1    2725157
2    2725157
3    2725157
4    2725157
5    2725157
6    2725157
7    2725157
Name: count, dtype: int64

Özellik Çıkarımı Tamamlandı: 218008 örnek
Eğitim, Doğrulama ve Test Setleri Ayrıldı
Veri Normalizasyonu Tamamlandı
Epoch 1/500: Eğitim Kaybı: 1.0396, Doğrulama Kaybı: 1.0365
Epoch 2/500: Eğitim Kaybı: 0.8743, Doğrulama Kaybı: 0.8664
Epoch 3/500: Eğitim Kaybı: 0.8727, Doğrulama Kaybı: 0.8671
Epoch 4/500: Eğitim Kaybı: 0.5566, Doğrulama Kaybı: 0.5499
Epoch 5/500: Eğitim Kaybı: 0.5009, Doğrulama Kaybı: 0.4934
Epoch 6/500: Eğitim Kaybı: 0.3815, Doğrulama Kaybı: 0.3707
Epoch 7/500: Eğitim Kaybı: 0.3659, Doğrulama Kaybı: 0.3554
Epoch 8/500: Eğitim Kaybı: 0.3575, Doğrulama Kaybı: 0.3473
Epoch 9/500: Eğitim Kaybı: 0.3505, Doğrulama Kaybı: 0.3403
Epoch 10/500: Eğitim Kaybı: 0.3426, Doğrulama Kaybı: 0.3329
Epoch 11/500: Eğitim Kaybı: 0.3363, Doğrulama Kaybı: 0.3264
Epoch 12/500: Eğitim Kaybı: 0.2995, Doğrulama Kaybı: 0.2900
Epoch 13/500: Eğitim Kaybı: 0.2904, Doğrulama Kaybı: 0.2806
Epoch 14/500: Eğitim Kaybı: 0.2822, Doğrulama Kaybı: 0.2715
Epoch 15/500: Eğitim Kaybı: 0.2806, Doğrulama Kaybı: 0.2699
Epoch 16/500: Eğitim Kaybı: 0.2789, Doğrulama Kaybı: 0.2683
Epoch 17/500: Eğitim Kaybı: 0.2776, Doğrulama Kaybı: 0.2670
Epoch 18/500: Eğitim Kaybı: 0.2727, Doğrulama Kaybı: 0.2624
Epoch 19/500: Eğitim Kaybı: 0.2698, Doğrulama Kaybı: 0.2594
Epoch 20/500: Eğitim Kaybı: 0.2680, Doğrulama Kaybı: 0.2576
Epoch 21/500: Eğitim Kaybı: 0.2670, Doğrulama Kaybı: 0.2566
Epoch 22/500: Eğitim Kaybı: 0.2663, Doğrulama Kaybı: 0.2559
Epoch 23/500: Eğitim Kaybı: 0.2651, Doğrulama Kaybı: 0.2546
Epoch 24/500: Eğitim Kaybı: 0.2638, Doğrulama Kaybı: 0.2533
Epoch 25/500: Eğitim Kaybı: 0.2567, Doğrulama Kaybı: 0.2464
Epoch 26/500: Eğitim Kaybı: 0.2516, Doğrulama Kaybı: 0.2413
Epoch 27/500: Eğitim Kaybı: 0.2509, Doğrulama Kaybı: 0.2406
Epoch 28/500: Eğitim Kaybı: 0.2443, Doğrulama Kaybı: 0.2323
Epoch 29/500: Eğitim Kaybı: 0.2346, Doğrulama Kaybı: 0.2237
Epoch 30/500: Eğitim Kaybı: 0.2324, Doğrulama Kaybı: 0.2217
Epoch 31/500: Eğitim Kaybı: 0.2314, Doğrulama Kaybı: 0.2209
Epoch 32/500: Eğitim Kaybı: 0.2304, Doğrulama Kaybı: 0.2203
Epoch 33/500: Eğitim Kaybı: 0.2302, Doğrulama Kaybı: 0.2201
Epoch 34/500: Eğitim Kaybı: 0.2235, Doğrulama Kaybı: 0.2159
Epoch 35/500: Eğitim Kaybı: 0.2199, Doğrulama Kaybı: 0.2120
Epoch 36/500: Eğitim Kaybı: 0.2180, Doğrulama Kaybı: 0.2099
Epoch 37/500: Eğitim Kaybı: 0.2171, Doğrulama Kaybı: 0.2089
Epoch 38/500: Eğitim Kaybı: 0.2159, Doğrulama Kaybı: 0.2071
Epoch 39/500: Eğitim Kaybı: 0.2157, Doğrulama Kaybı: 0.2069
Epoch 40/500: Eğitim Kaybı: 0.2152, Doğrulama Kaybı: 0.2065
Epoch 41/500: Eğitim Kaybı: 0.2150, Doğrulama Kaybı: 0.2063
Epoch 42/500: Eğitim Kaybı: 0.2144, Doğrulama Kaybı: 0.2058
Epoch 43/500: Eğitim Kaybı: 0.2139, Doğrulama Kaybı: 0.2053
Epoch 44/500: Eğitim Kaybı: 0.2137, Doğrulama Kaybı: 0.2051
Epoch 45/500: Eğitim Kaybı: 0.2136, Doğrulama Kaybı: 0.2050
Epoch 46/500: Eğitim Kaybı: 0.2135, Doğrulama Kaybı: 0.2049
Epoch 47/500: Eğitim Kaybı: 0.2134, Doğrulama Kaybı: 0.2048
Epoch 48/500: Eğitim Kaybı: 0.2132, Doğrulama Kaybı: 0.2047
Epoch 49/500: Eğitim Kaybı: 0.2113, Doğrulama Kaybı: 0.2031
Epoch 50/500: Eğitim Kaybı: 0.2097, Doğrulama Kaybı: 0.2016
Epoch 51/500: Eğitim Kaybı: 0.2096, Doğrulama Kaybı: 0.2015
Epoch 52/500: Eğitim Kaybı: 0.2066, Doğrulama Kaybı: 0.2003
Epoch 53/500: Eğitim Kaybı: 0.2020, Doğrulama Kaybı: 0.1955
Epoch 54/500: Eğitim Kaybı: 0.2014, Doğrulama Kaybı: 0.1948
Epoch 55/500: Eğitim Kaybı: 0.2010, Doğrulama Kaybı: 0.1942
Epoch 56/500: Eğitim Kaybı: 0.2009, Doğrulama Kaybı: 0.1941
Epoch 57/500: Eğitim Kaybı: 0.2008, Doğrulama Kaybı: 0.1941
Epoch 58/500: Eğitim Kaybı: 0.2008, Doğrulama Kaybı: 0.1940
Epoch 59/500: Eğitim Kaybı: 0.2007, Doğrulama Kaybı: 0.1940
Epoch 60/500: Eğitim Kaybı: 0.2006, Doğrulama Kaybı: 0.1939
Epoch 61/500: Eğitim Kaybı: 0.2005, Doğrulama Kaybı: 0.1938
Epoch 62/500: Eğitim Kaybı: 0.2004, Doğrulama Kaybı: 0.1937
Epoch 63/500: Eğitim Kaybı: 0.2003, Doğrulama Kaybı: 0.1936
Epoch 64/500: Eğitim Kaybı: 0.2003, Doğrulama Kaybı: 0.1936
Epoch 65/500: Eğitim Kaybı: 0.2002, Doğrulama Kaybı: 0.1936
Epoch 66/500: Eğitim Kaybı: 0.2001, Doğrulama Kaybı: 0.1935
Epoch 67/500: Eğitim Kaybı: 0.2001, Doğrulama Kaybı: 0.1934
Epoch 68/500: Eğitim Kaybı: 0.2000, Doğrulama Kaybı: 0.1933
Epoch 69/500: Eğitim Kaybı: 0.1999, Doğrulama Kaybı: 0.1933
Epoch 70/500: Eğitim Kaybı: 0.1998, Doğrulama Kaybı: 0.1932
Epoch 71/500: Eğitim Kaybı: 0.1998, Doğrulama Kaybı: 0.1932
Epoch 72/500: Eğitim Kaybı: 0.1998, Doğrulama Kaybı: 0.1931
Epoch 73/500: Eğitim Kaybı: 0.1997, Doğrulama Kaybı: 0.1931
Epoch 74/500: Eğitim Kaybı: 0.1996, Doğrulama Kaybı: 0.1930
Epoch 75/500: Eğitim Kaybı: 0.1995, Doğrulama Kaybı: 0.1929
Epoch 76/500: Eğitim Kaybı: 0.1994, Doğrulama Kaybı: 0.1928
Epoch 77/500: Eğitim Kaybı: 0.1994, Doğrulama Kaybı: 0.1928
Epoch 78/500: Eğitim Kaybı: 0.1993, Doğrulama Kaybı: 0.1928
Epoch 79/500: Eğitim Kaybı: 0.1993, Doğrulama Kaybı: 0.1927
Epoch 80/500: Eğitim Kaybı: 0.1992, Doğrulama Kaybı: 0.1927
Epoch 81/500: Eğitim Kaybı: 0.1991, Doğrulama Kaybı: 0.1926
Epoch 82/500: Eğitim Kaybı: 0.1990, Doğrulama Kaybı: 0.1924
Epoch 83/500: Eğitim Kaybı: 0.1988, Doğrulama Kaybı: 0.1923
Epoch 84/500: Eğitim Kaybı: 0.1987, Doğrulama Kaybı: 0.1922
Epoch 85/500: Eğitim Kaybı: 0.1987, Doğrulama Kaybı: 0.1922
Epoch 86/500: Eğitim Kaybı: 0.1987, Doğrulama Kaybı: 0.1922
Epoch 87/500: Eğitim Kaybı: 0.1986, Doğrulama Kaybı: 0.1921
Epoch 88/500: Eğitim Kaybı: 0.1985, Doğrulama Kaybı: 0.1921
Epoch 89/500: Eğitim Kaybı: 0.1984, Doğrulama Kaybı: 0.1919
Epoch 90/500: Eğitim Kaybı: 0.1982, Doğrulama Kaybı: 0.1918
Epoch 91/500: Eğitim Kaybı: 0.1982, Doğrulama Kaybı: 0.1918
Epoch 92/500: Eğitim Kaybı: 0.1982, Doğrulama Kaybı: 0.1918
Epoch 93/500: Eğitim Kaybı: 0.1981, Doğrulama Kaybı: 0.1917
Epoch 94/500: Eğitim Kaybı: 0.1981, Doğrulama Kaybı: 0.1917
Epoch 95/500: Eğitim Kaybı: 0.1980, Doğrulama Kaybı: 0.1916
Epoch 96/500: Eğitim Kaybı: 0.1972, Doğrulama Kaybı: 0.1910
Epoch 97/500: Eğitim Kaybı: 0.1965, Doğrulama Kaybı: 0.1903
Epoch 98/500: Eğitim Kaybı: 0.1965, Doğrulama Kaybı: 0.1903
Epoch 99/500: Eğitim Kaybı: 0.1965, Doğrulama Kaybı: 0.1903
Epoch 100/500: Eğitim Kaybı: 0.1964, Doğrulama Kaybı: 0.1902
Epoch 101/500: Eğitim Kaybı: 0.1947, Doğrulama Kaybı: 0.1893
Epoch 102/500: Eğitim Kaybı: 0.1917, Doğrulama Kaybı: 0.1862
Epoch 103/500: Eğitim Kaybı: 0.1914, Doğrulama Kaybı: 0.1859
Epoch 104/500: Eğitim Kaybı: 0.1913, Doğrulama Kaybı: 0.1858
Epoch 105/500: Eğitim Kaybı: 0.1913, Doğrulama Kaybı: 0.1858
Epoch 106/500: Eğitim Kaybı: 0.1913, Doğrulama Kaybı: 0.1858
Epoch 107/500: Eğitim Kaybı: 0.1912, Doğrulama Kaybı: 0.1857
Epoch 108/500: Eğitim Kaybı: 0.1912, Doğrulama Kaybı: 0.1857
Epoch 109/500: Eğitim Kaybı: 0.1912, Doğrulama Kaybı: 0.1857
Epoch 110/500: Eğitim Kaybı: 0.1912, Doğrulama Kaybı: 0.1857
Epoch 111/500: Eğitim Kaybı: 0.1912, Doğrulama Kaybı: 0.1856
Epoch 112/500: Eğitim Kaybı: 0.1911, Doğrulama Kaybı: 0.1856
Epoch 113/500: Eğitim Kaybı: 0.1911, Doğrulama Kaybı: 0.1856
Epoch 114/500: Eğitim Kaybı: 0.1910, Doğrulama Kaybı: 0.1855
Epoch 115/500: Eğitim Kaybı: 0.1909, Doğrulama Kaybı: 0.1854
Epoch 116/500: Eğitim Kaybı: 0.1909, Doğrulama Kaybı: 0.1853
Epoch 117/500: Eğitim Kaybı: 0.1874, Doğrulama Kaybı: 0.1820
Epoch 118/500: Eğitim Kaybı: 0.1872, Doğrulama Kaybı: 0.1818
Epoch 119/500: Eğitim Kaybı: 0.1872, Doğrulama Kaybı: 0.1817
Epoch 120/500: Eğitim Kaybı: 0.1871, Doğrulama Kaybı: 0.1817
Epoch 121/500: Eğitim Kaybı: 0.1871, Doğrulama Kaybı: 0.1817
Epoch 122/500: Eğitim Kaybı: 0.1871, Doğrulama Kaybı: 0.1817
Epoch 123/500: Eğitim Kaybı: 0.1870, Doğrulama Kaybı: 0.1817
Epoch 124/500: Eğitim Kaybı: 0.1870, Doğrulama Kaybı: 0.1816
Epoch 125/500: Eğitim Kaybı: 0.1870, Doğrulama Kaybı: 0.1816
Epoch 126/500: Eğitim Kaybı: 0.1869, Doğrulama Kaybı: 0.1816
Epoch 127/500: Eğitim Kaybı: 0.1869, Doğrulama Kaybı: 0.1816
Epoch 128/500: Eğitim Kaybı: 0.1869, Doğrulama Kaybı: 0.1816
Epoch 129/500: Eğitim Kaybı: 0.1869, Doğrulama Kaybı: 0.1816
Epoch 130/500: Eğitim Kaybı: 0.1868, Doğrulama Kaybı: 0.1815
Epoch 131/500: Eğitim Kaybı: 0.1868, Doğrulama Kaybı: 0.1815
Epoch 132/500: Eğitim Kaybı: 0.1868, Doğrulama Kaybı: 0.1815
Epoch 133/500: Eğitim Kaybı: 0.1868, Doğrulama Kaybı: 0.1815
Epoch 134/500: Eğitim Kaybı: 0.1868, Doğrulama Kaybı: 0.1815
Epoch 135/500: Eğitim Kaybı: 0.1867, Doğrulama Kaybı: 0.1815
Epoch 136/500: Eğitim Kaybı: 0.1867, Doğrulama Kaybı: 0.1814
Epoch 137/500: Eğitim Kaybı: 0.1867, Doğrulama Kaybı: 0.1814
Epoch 138/500: Eğitim Kaybı: 0.1867, Doğrulama Kaybı: 0.1814
Epoch 139/500: Eğitim Kaybı: 0.1866, Doğrulama Kaybı: 0.1814
Epoch 140/500: Eğitim Kaybı: 0.1866, Doğrulama Kaybı: 0.1814
Epoch 141/500: Eğitim Kaybı: 0.1866, Doğrulama Kaybı: 0.1814
Epoch 142/500: Eğitim Kaybı: 0.1866, Doğrulama Kaybı: 0.1813
Epoch 143/500: Eğitim Kaybı: 0.1865, Doğrulama Kaybı: 0.1813
Epoch 144/500: Eğitim Kaybı: 0.1865, Doğrulama Kaybı: 0.1813
Epoch 145/500: Eğitim Kaybı: 0.1865, Doğrulama Kaybı: 0.1813
Epoch 146/500: Eğitim Kaybı: 0.1865, Doğrulama Kaybı: 0.1813
Epoch 147/500: Eğitim Kaybı: 0.1865, Doğrulama Kaybı: 0.1812
Epoch 148/500: Eğitim Kaybı: 0.1864, Doğrulama Kaybı: 0.1812
Epoch 149/500: Eğitim Kaybı: 0.1864, Doğrulama Kaybı: 0.1812
Epoch 150/500: Eğitim Kaybı: 0.1864, Doğrulama Kaybı: 0.1812
Epoch 151/500: Eğitim Kaybı: 0.1864, Doğrulama Kaybı: 0.1812
Epoch 152/500: Eğitim Kaybı: 0.1863, Doğrulama Kaybı: 0.1811
Epoch 153/500: Eğitim Kaybı: 0.1863, Doğrulama Kaybı: 0.1811
Epoch 154/500: Eğitim Kaybı: 0.1863, Doğrulama Kaybı: 0.1811
Epoch 155/500: Eğitim Kaybı: 0.1863, Doğrulama Kaybı: 0.1811
Epoch 156/500: Eğitim Kaybı: 0.1862, Doğrulama Kaybı: 0.1811
Epoch 157/500: Eğitim Kaybı: 0.1862, Doğrulama Kaybı: 0.1811
Epoch 158/500: Eğitim Kaybı: 0.1862, Doğrulama Kaybı: 0.1810
Epoch 159/500: Eğitim Kaybı: 0.1862, Doğrulama Kaybı: 0.1810
Epoch 160/500: Eğitim Kaybı: 0.1862, Doğrulama Kaybı: 0.1810
Epoch 161/500: Eğitim Kaybı: 0.1861, Doğrulama Kaybı: 0.1810
Epoch 162/500: Eğitim Kaybı: 0.1861, Doğrulama Kaybı: 0.1809
Epoch 163/500: Eğitim Kaybı: 0.1861, Doğrulama Kaybı: 0.1809
Epoch 164/500: Eğitim Kaybı: 0.1861, Doğrulama Kaybı: 0.1809
Epoch 165/500: Eğitim Kaybı: 0.1860, Doğrulama Kaybı: 0.1809
Epoch 166/500: Eğitim Kaybı: 0.1860, Doğrulama Kaybı: 0.1809
Epoch 167/500: Eğitim Kaybı: 0.1860, Doğrulama Kaybı: 0.1808
Epoch 168/500: Eğitim Kaybı: 0.1860, Doğrulama Kaybı: 0.1808
Epoch 169/500: Eğitim Kaybı: 0.1859, Doğrulama Kaybı: 0.1808
Epoch 170/500: Eğitim Kaybı: 0.1859, Doğrulama Kaybı: 0.1808
Epoch 171/500: Eğitim Kaybı: 0.1859, Doğrulama Kaybı: 0.1808
Epoch 172/500: Eğitim Kaybı: 0.1859, Doğrulama Kaybı: 0.1807
Epoch 173/500: Eğitim Kaybı: 0.1859, Doğrulama Kaybı: 0.1807
Epoch 174/500: Eğitim Kaybı: 0.1858, Doğrulama Kaybı: 0.1807
Epoch 175/500: Eğitim Kaybı: 0.1858, Doğrulama Kaybı: 0.1807
Epoch 176/500: Eğitim Kaybı: 0.1858, Doğrulama Kaybı: 0.1807
Epoch 177/500: Eğitim Kaybı: 0.1858, Doğrulama Kaybı: 0.1807
Epoch 178/500: Eğitim Kaybı: 0.1858, Doğrulama Kaybı: 0.1806
Epoch 179/500: Eğitim Kaybı: 0.1857, Doğrulama Kaybı: 0.1806
Epoch 180/500: Eğitim Kaybı: 0.1857, Doğrulama Kaybı: 0.1806
Epoch 181/500: Eğitim Kaybı: 0.1857, Doğrulama Kaybı: 0.1806
Epoch 182/500: Eğitim Kaybı: 0.1857, Doğrulama Kaybı: 0.1806
Epoch 183/500: Eğitim Kaybı: 0.1857, Doğrulama Kaybı: 0.1806
Epoch 184/500: Eğitim Kaybı: 0.1856, Doğrulama Kaybı: 0.1805
Epoch 185/500: Eğitim Kaybı: 0.1856, Doğrulama Kaybı: 0.1805
Epoch 186/500: Eğitim Kaybı: 0.1856, Doğrulama Kaybı: 0.1805
Epoch 187/500: Eğitim Kaybı: 0.1856, Doğrulama Kaybı: 0.1805
Epoch 188/500: Eğitim Kaybı: 0.1856, Doğrulama Kaybı: 0.1805
Epoch 189/500: Eğitim Kaybı: 0.1855, Doğrulama Kaybı: 0.1804
Epoch 190/500: Eğitim Kaybı: 0.1855, Doğrulama Kaybı: 0.1804
Epoch 191/500: Eğitim Kaybı: 0.1855, Doğrulama Kaybı: 0.1804
Epoch 192/500: Eğitim Kaybı: 0.1855, Doğrulama Kaybı: 0.1804
Epoch 193/500: Eğitim Kaybı: 0.1855, Doğrulama Kaybı: 0.1804
Epoch 194/500: Eğitim Kaybı: 0.1854, Doğrulama Kaybı: 0.1803
Epoch 195/500: Eğitim Kaybı: 0.1854, Doğrulama Kaybı: 0.1803
Epoch 196/500: Eğitim Kaybı: 0.1854, Doğrulama Kaybı: 0.1803
Epoch 197/500: Eğitim Kaybı: 0.1854, Doğrulama Kaybı: 0.1803
Epoch 198/500: Eğitim Kaybı: 0.1854, Doğrulama Kaybı: 0.1803
Epoch 199/500: Eğitim Kaybı: 0.1853, Doğrulama Kaybı: 0.1803
Epoch 200/500: Eğitim Kaybı: 0.1853, Doğrulama Kaybı: 0.1802
Epoch 201/500: Eğitim Kaybı: 0.1853, Doğrulama Kaybı: 0.1802
Epoch 202/500: Eğitim Kaybı: 0.1853, Doğrulama Kaybı: 0.1802
Epoch 203/500: Eğitim Kaybı: 0.1853, Doğrulama Kaybı: 0.1802
Epoch 204/500: Eğitim Kaybı: 0.1852, Doğrulama Kaybı: 0.1802
Epoch 205/500: Eğitim Kaybı: 0.1852, Doğrulama Kaybı: 0.1802
Epoch 206/500: Eğitim Kaybı: 0.1852, Doğrulama Kaybı: 0.1801
Epoch 207/500: Eğitim Kaybı: 0.1852, Doğrulama Kaybı: 0.1801
Epoch 208/500: Eğitim Kaybı: 0.1852, Doğrulama Kaybı: 0.1801
Epoch 209/500: Eğitim Kaybı: 0.1852, Doğrulama Kaybı: 0.1801
Epoch 210/500: Eğitim Kaybı: 0.1851, Doğrulama Kaybı: 0.1801
Epoch 211/500: Eğitim Kaybı: 0.1851, Doğrulama Kaybı: 0.1801
Epoch 212/500: Eğitim Kaybı: 0.1851, Doğrulama Kaybı: 0.1800
Epoch 213/500: Eğitim Kaybı: 0.1851, Doğrulama Kaybı: 0.1800
Epoch 214/500: Eğitim Kaybı: 0.1851, Doğrulama Kaybı: 0.1800
Epoch 215/500: Eğitim Kaybı: 0.1850, Doğrulama Kaybı: 0.1800
Epoch 216/500: Eğitim Kaybı: 0.1850, Doğrulama Kaybı: 0.1800
Epoch 217/500: Eğitim Kaybı: 0.1850, Doğrulama Kaybı: 0.1800
Epoch 218/500: Eğitim Kaybı: 0.1850, Doğrulama Kaybı: 0.1799
Epoch 219/500: Eğitim Kaybı: 0.1850, Doğrulama Kaybı: 0.1799
Epoch 220/500: Eğitim Kaybı: 0.1850, Doğrulama Kaybı: 0.1799
Epoch 221/500: Eğitim Kaybı: 0.1849, Doğrulama Kaybı: 0.1799
Epoch 222/500: Eğitim Kaybı: 0.1849, Doğrulama Kaybı: 0.1799
Epoch 223/500: Eğitim Kaybı: 0.1849, Doğrulama Kaybı: 0.1799
Epoch 224/500: Eğitim Kaybı: 0.1849, Doğrulama Kaybı: 0.1799
Epoch 225/500: Eğitim Kaybı: 0.1849, Doğrulama Kaybı: 0.1799
Epoch 226/500: Eğitim Kaybı: 0.1849, Doğrulama Kaybı: 0.1798
Epoch 227/500: Eğitim Kaybı: 0.1848, Doğrulama Kaybı: 0.1798
Epoch 228/500: Eğitim Kaybı: 0.1848, Doğrulama Kaybı: 0.1798
Epoch 229/500: Eğitim Kaybı: 0.1848, Doğrulama Kaybı: 0.1798
Epoch 230/500: Eğitim Kaybı: 0.1848, Doğrulama Kaybı: 0.1798
Epoch 231/500: Eğitim Kaybı: 0.1848, Doğrulama Kaybı: 0.1798
