Model Eğitim Logları
==================================================

Veri Yükleme Tamamlandı
Toplam Veri Sayısı: 4237907
Veri Temizleme Atlandı
Bant Geçiş Filtresi Uygulandı: 1-499 Hz
Sınıf Dağılımı (Dengeleme Sonrası):
class
0    2725157
1    2725157
2    2725157
3    2725157
4    2725157
5    2725157
6    2725157
7    2725157
Name: count, dtype: int64

Özellik Çıkarımı Tamamlandı: 218008 örnek
Eğitim, Doğrulama ve Test Setleri Ayrıldı
Veri Normalizasyonu Tamamlandı
Epoch 1/500: Eğitim Kaybı: 0.9551, Doğrulama Kaybı: 0.9538
Epoch 2/500: Eğitim Kaybı: 0.6371, Doğrulama Kaybı: 0.6312
Epoch 3/500: Eğitim Kaybı: 0.5024, Doğrulama Kaybı: 0.4960
Epoch 4/500: Eğitim Kaybı: 0.4475, Doğrulama Kaybı: 0.4397
Epoch 5/500: Eğitim Kaybı: 0.4125, Doğrulama Kaybı: 0.4044
Epoch 6/500: Eğitim Kaybı: 0.3878, Doğrulama Kaybı: 0.3795
Epoch 7/500: Eğitim Kaybı: 0.3702, Doğrulama Kaybı: 0.3617
Epoch 8/500: Eğitim Kaybı: 0.3555, Doğrulama Kaybı: 0.3470
Epoch 9/500: Eğitim Kaybı: 0.3427, Doğrulama Kaybı: 0.3341
Epoch 10/500: Eğitim Kaybı: 0.3321, Doğrulama Kaybı: 0.3236
Epoch 11/500: Eğitim Kaybı: 0.3168, Doğrulama Kaybı: 0.3079
Epoch 12/500: Eğitim Kaybı: 0.2660, Doğrulama Kaybı: 0.2575
Epoch 13/500: Eğitim Kaybı: 0.2631, Doğrulama Kaybı: 0.2547
Epoch 14/500: Eğitim Kaybı: 0.2551, Doğrulama Kaybı: 0.2478
Epoch 15/500: Eğitim Kaybı: 0.2498, Doğrulama Kaybı: 0.2423
Epoch 16/500: Eğitim Kaybı: 0.2478, Doğrulama Kaybı: 0.2401
Epoch 17/500: Eğitim Kaybı: 0.2463, Doğrulama Kaybı: 0.2385
Epoch 18/500: Eğitim Kaybı: 0.2447, Doğrulama Kaybı: 0.2371
Epoch 19/500: Eğitim Kaybı: 0.2434, Doğrulama Kaybı: 0.2358
Epoch 20/500: Eğitim Kaybı: 0.2423, Doğrulama Kaybı: 0.2347
Epoch 21/500: Eğitim Kaybı: 0.2412, Doğrulama Kaybı: 0.2336
Epoch 22/500: Eğitim Kaybı: 0.2402, Doğrulama Kaybı: 0.2327
Epoch 23/500: Eğitim Kaybı: 0.2394, Doğrulama Kaybı: 0.2318
Epoch 24/500: Eğitim Kaybı: 0.2385, Doğrulama Kaybı: 0.2311
Epoch 25/500: Eğitim Kaybı: 0.2377, Doğrulama Kaybı: 0.2302
Epoch 26/500: Eğitim Kaybı: 0.2370, Doğrulama Kaybı: 0.2295
Epoch 27/500: Eğitim Kaybı: 0.2351, Doğrulama Kaybı: 0.2277
Epoch 28/500: Eğitim Kaybı: 0.2336, Doğrulama Kaybı: 0.2262
Epoch 29/500: Eğitim Kaybı: 0.2328, Doğrulama Kaybı: 0.2255
Epoch 30/500: Eğitim Kaybı: 0.2321, Doğrulama Kaybı: 0.2248
Epoch 31/500: Eğitim Kaybı: 0.2315, Doğrulama Kaybı: 0.2242
Epoch 32/500: Eğitim Kaybı: 0.2309, Doğrulama Kaybı: 0.2236
Epoch 33/500: Eğitim Kaybı: 0.2303, Doğrulama Kaybı: 0.2231
Epoch 34/500: Eğitim Kaybı: 0.2293, Doğrulama Kaybı: 0.2221
Epoch 35/500: Eğitim Kaybı: 0.2285, Doğrulama Kaybı: 0.2213
Epoch 36/500: Eğitim Kaybı: 0.2271, Doğrulama Kaybı: 0.2200
Epoch 37/500: Eğitim Kaybı: 0.2258, Doğrulama Kaybı: 0.2187
Epoch 38/500: Eğitim Kaybı: 0.2239, Doğrulama Kaybı: 0.2170
Epoch 39/500: Eğitim Kaybı: 0.2222, Doğrulama Kaybı: 0.2152
Epoch 40/500: Eğitim Kaybı: 0.2185, Doğrulama Kaybı: 0.2118
Epoch 41/500: Eğitim Kaybı: 0.2153, Doğrulama Kaybı: 0.2086
Epoch 42/500: Eğitim Kaybı: 0.2122, Doğrulama Kaybı: 0.2061
Epoch 43/500: Eğitim Kaybı: 0.2100, Doğrulama Kaybı: 0.2038
Epoch 44/500: Eğitim Kaybı: 0.2095, Doğrulama Kaybı: 0.2031
Epoch 45/500: Eğitim Kaybı: 0.2092, Doğrulama Kaybı: 0.2029
Epoch 46/500: Eğitim Kaybı: 0.2089, Doğrulama Kaybı: 0.2027
Epoch 47/500: Eğitim Kaybı: 0.2087, Doğrulama Kaybı: 0.2024
Epoch 48/500: Eğitim Kaybı: 0.2085, Doğrulama Kaybı: 0.2022
Epoch 49/500: Eğitim Kaybı: 0.2082, Doğrulama Kaybı: 0.2020
Epoch 50/500: Eğitim Kaybı: 0.2080, Doğrulama Kaybı: 0.2018
Epoch 51/500: Eğitim Kaybı: 0.2065, Doğrulama Kaybı: 0.2005
Epoch 52/500: Eğitim Kaybı: 0.2053, Doğrulama Kaybı: 0.1993
Epoch 53/500: Eğitim Kaybı: 0.2051, Doğrulama Kaybı: 0.1991
Epoch 54/500: Eğitim Kaybı: 0.2025, Doğrulama Kaybı: 0.1973
Epoch 55/500: Eğitim Kaybı: 0.1941, Doğrulama Kaybı: 0.1890
Epoch 56/500: Eğitim Kaybı: 0.1940, Doğrulama Kaybı: 0.1889
Epoch 57/500: Eğitim Kaybı: 0.1938, Doğrulama Kaybı: 0.1888
Epoch 58/500: Eğitim Kaybı: 0.1937, Doğrulama Kaybı: 0.1886
Epoch 59/500: Eğitim Kaybı: 0.1934, Doğrulama Kaybı: 0.1884
Epoch 60/500: Eğitim Kaybı: 0.1932, Doğrulama Kaybı: 0.1882
Epoch 61/500: Eğitim Kaybı: 0.1898, Doğrulama Kaybı: 0.1854
Epoch 62/500: Eğitim Kaybı: 0.1856, Doğrulama Kaybı: 0.1813
Epoch 63/500: Eğitim Kaybı: 0.1854, Doğrulama Kaybı: 0.1810
Epoch 64/500: Eğitim Kaybı: 0.1853, Doğrulama Kaybı: 0.1810
Epoch 65/500: Eğitim Kaybı: 0.1852, Doğrulama Kaybı: 0.1809
Epoch 66/500: Eğitim Kaybı: 0.1852, Doğrulama Kaybı: 0.1809
Epoch 67/500: Eğitim Kaybı: 0.1849, Doğrulama Kaybı: 0.1808
Epoch 68/500: Eğitim Kaybı: 0.1848, Doğrulama Kaybı: 0.1806
Epoch 69/500: Eğitim Kaybı: 0.1847, Doğrulama Kaybı: 0.1806
Epoch 70/500: Eğitim Kaybı: 0.1847, Doğrulama Kaybı: 0.1805
Epoch 71/500: Eğitim Kaybı: 0.1846, Doğrulama Kaybı: 0.1805
Epoch 72/500: Eğitim Kaybı: 0.1845, Doğrulama Kaybı: 0.1804
Epoch 73/500: Eğitim Kaybı: 0.1844, Doğrulama Kaybı: 0.1803
Epoch 74/500: Eğitim Kaybı: 0.1842, Doğrulama Kaybı: 0.1802
Epoch 75/500: Eğitim Kaybı: 0.1834, Doğrulama Kaybı: 0.1796
Epoch 76/500: Eğitim Kaybı: 0.1828, Doğrulama Kaybı: 0.1790
Epoch 77/500: Eğitim Kaybı: 0.1827, Doğrulama Kaybı: 0.1789
Epoch 78/500: Eğitim Kaybı: 0.1826, Doğrulama Kaybı: 0.1787
Epoch 79/500: Eğitim Kaybı: 0.1825, Doğrulama Kaybı: 0.1786
Epoch 80/500: Eğitim Kaybı: 0.1824, Doğrulama Kaybı: 0.1786
Epoch 81/500: Eğitim Kaybı: 0.1823, Doğrulama Kaybı: 0.1785
Epoch 82/500: Eğitim Kaybı: 0.1823, Doğrulama Kaybı: 0.1785
Epoch 83/500: Eğitim Kaybı: 0.1822, Doğrulama Kaybı: 0.1784
Epoch 84/500: Eğitim Kaybı: 0.1822, Doğrulama Kaybı: 0.1784
Epoch 85/500: Eğitim Kaybı: 0.1822, Doğrulama Kaybı: 0.1783
Epoch 86/500: Eğitim Kaybı: 0.1821, Doğrulama Kaybı: 0.1783
Epoch 87/500: Eğitim Kaybı: 0.1820, Doğrulama Kaybı: 0.1782
Epoch 88/500: Eğitim Kaybı: 0.1819, Doğrulama Kaybı: 0.1781
Epoch 89/500: Eğitim Kaybı: 0.1812, Doğrulama Kaybı: 0.1775
Epoch 90/500: Eğitim Kaybı: 0.1806, Doğrulama Kaybı: 0.1769
Epoch 91/500: Eğitim Kaybı: 0.1805, Doğrulama Kaybı: 0.1769
Epoch 92/500: Eğitim Kaybı: 0.1805, Doğrulama Kaybı: 0.1768
Epoch 93/500: Eğitim Kaybı: 0.1804, Doğrulama Kaybı: 0.1767
Epoch 94/500: Eğitim Kaybı: 0.1768, Doğrulama Kaybı: 0.1738
Epoch 95/500: Eğitim Kaybı: 0.1761, Doğrulama Kaybı: 0.1729
Epoch 96/500: Eğitim Kaybı: 0.1760, Doğrulama Kaybı: 0.1728
Epoch 97/500: Eğitim Kaybı: 0.1760, Doğrulama Kaybı: 0.1728
Epoch 98/500: Eğitim Kaybı: 0.1759, Doğrulama Kaybı: 0.1727
Epoch 99/500: Eğitim Kaybı: 0.1759, Doğrulama Kaybı: 0.1727
Epoch 100/500: Eğitim Kaybı: 0.1759, Doğrulama Kaybı: 0.1727
Epoch 101/500: Eğitim Kaybı: 0.1759, Doğrulama Kaybı: 0.1726
Epoch 102/500: Eğitim Kaybı: 0.1758, Doğrulama Kaybı: 0.1726
Epoch 103/500: Eğitim Kaybı: 0.1736, Doğrulama Kaybı: 0.1697
Epoch 104/500: Eğitim Kaybı: 0.1733, Doğrulama Kaybı: 0.1694
Epoch 105/500: Eğitim Kaybı: 0.1732, Doğrulama Kaybı: 0.1693
Epoch 106/500: Eğitim Kaybı: 0.1730, Doğrulama Kaybı: 0.1692
Epoch 107/500: Eğitim Kaybı: 0.1729, Doğrulama Kaybı: 0.1693
Epoch 108/500: Eğitim Kaybı: 0.1728, Doğrulama Kaybı: 0.1692
Epoch 109/500: Eğitim Kaybı: 0.1728, Doğrulama Kaybı: 0.1692
Epoch 110/500: Eğitim Kaybı: 0.1727, Doğrulama Kaybı: 0.1692
Epoch 111/500: Eğitim Kaybı: 0.1727, Doğrulama Kaybı: 0.1692
Epoch 112/500: Eğitim Kaybı: 0.1727, Doğrulama Kaybı: 0.1692
Epoch 113/500: Eğitim Kaybı: 0.1727, Doğrulama Kaybı: 0.1692
Epoch 114/500: Eğitim Kaybı: 0.1726, Doğrulama Kaybı: 0.1692
Epoch 115/500: Eğitim Kaybı: 0.1726, Doğrulama Kaybı: 0.1692
Epoch 116/500: Eğitim Kaybı: 0.1724, Doğrulama Kaybı: 0.1693
Epoch 117/500: Eğitim Kaybı: 0.1724, Doğrulama Kaybı: 0.1692
Epoch 118/500: Eğitim Kaybı: 0.1722, Doğrulama Kaybı: 0.1687
Epoch 119/500: Eğitim Kaybı: 0.1720, Doğrulama Kaybı: 0.1687
Epoch 120/500: Eğitim Kaybı: 0.1720, Doğrulama Kaybı: 0.1687
Epoch 121/500: Eğitim Kaybı: 0.1720, Doğrulama Kaybı: 0.1687
Epoch 122/500: Eğitim Kaybı: 0.1719, Doğrulama Kaybı: 0.1687
Epoch 123/500: Eğitim Kaybı: 0.1719, Doğrulama Kaybı: 0.1687
Epoch 124/500: Eğitim Kaybı: 0.1719, Doğrulama Kaybı: 0.1687
Epoch 125/500: Eğitim Kaybı: 0.1718, Doğrulama Kaybı: 0.1686
Epoch 126/500: Eğitim Kaybı: 0.1717, Doğrulama Kaybı: 0.1686
Epoch 127/500: Eğitim Kaybı: 0.1717, Doğrulama Kaybı: 0.1686
Epoch 128/500: Eğitim Kaybı: 0.1717, Doğrulama Kaybı: 0.1686
Epoch 129/500: Eğitim Kaybı: 0.1717, Doğrulama Kaybı: 0.1686
Epoch 130/500: Eğitim Kaybı: 0.1716, Doğrulama Kaybı: 0.1685
Epoch 131/500: Eğitim Kaybı: 0.1716, Doğrulama Kaybı: 0.1685
Epoch 132/500: Eğitim Kaybı: 0.1715, Doğrulama Kaybı: 0.1683
Epoch 133/500: Eğitim Kaybı: 0.1715, Doğrulama Kaybı: 0.1683
Epoch 134/500: Eğitim Kaybı: 0.1714, Doğrulama Kaybı: 0.1683
Epoch 135/500: Eğitim Kaybı: 0.1714, Doğrulama Kaybı: 0.1683
Epoch 136/500: Eğitim Kaybı: 0.1714, Doğrulama Kaybı: 0.1683
Epoch 137/500: Eğitim Kaybı: 0.1714, Doğrulama Kaybı: 0.1683
Epoch 138/500: Eğitim Kaybı: 0.1714, Doğrulama Kaybı: 0.1683
Epoch 139/500: Eğitim Kaybı: 0.1714, Doğrulama Kaybı: 0.1682
Epoch 140/500: Eğitim Kaybı: 0.1714, Doğrulama Kaybı: 0.1682
Epoch 141/500: Eğitim Kaybı: 0.1713, Doğrulama Kaybı: 0.1682
Epoch 142/500: Eğitim Kaybı: 0.1713, Doğrulama Kaybı: 0.1682
Epoch 143/500: Eğitim Kaybı: 0.1713, Doğrulama Kaybı: 0.1682
Epoch 144/500: Eğitim Kaybı: 0.1713, Doğrulama Kaybı: 0.1682
Epoch 145/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1681
Epoch 146/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1681
Epoch 147/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1681
Epoch 148/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1681
Epoch 149/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1681
Epoch 150/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1681
Epoch 151/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1681
Epoch 152/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1681
Epoch 153/500: Eğitim Kaybı: 0.1712, Doğrulama Kaybı: 0.1680
Epoch 154/500: Eğitim Kaybı: 0.1710, Doğrulama Kaybı: 0.1679
Epoch 155/500: Eğitim Kaybı: 0.1709, Doğrulama Kaybı: 0.1678
Epoch 156/500: Eğitim Kaybı: 0.1709, Doğrulama Kaybı: 0.1678
Epoch 157/500: Eğitim Kaybı: 0.1707, Doğrulama Kaybı: 0.1676
Epoch 158/500: Eğitim Kaybı: 0.1705, Doğrulama Kaybı: 0.1675
Epoch 159/500: Eğitim Kaybı: 0.1705, Doğrulama Kaybı: 0.1674
Epoch 160/500: Eğitim Kaybı: 0.1704, Doğrulama Kaybı: 0.1674
Epoch 161/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 162/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 163/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 164/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 165/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 166/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 167/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 168/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 169/500: Eğitim Kaybı: 0.1703, Doğrulama Kaybı: 0.1672
Epoch 170/500: Eğitim Kaybı: 0.1702, Doğrulama Kaybı: 0.1672
Epoch 171/500: Eğitim Kaybı: 0.1702, Doğrulama Kaybı: 0.1671
Epoch 172/500: Eğitim Kaybı: 0.1702, Doğrulama Kaybı: 0.1671
Epoch 173/500: Eğitim Kaybı: 0.1702, Doğrulama Kaybı: 0.1671
Epoch 174/500: Eğitim Kaybı: 0.1702, Doğrulama Kaybı: 0.1671
Epoch 175/500: Eğitim Kaybı: 0.1701, Doğrulama Kaybı: 0.1671
Epoch 176/500: Eğitim Kaybı: 0.1701, Doğrulama Kaybı: 0.1671
Epoch 177/500: Eğitim Kaybı: 0.1701, Doğrulama Kaybı: 0.1671
Epoch 178/500: Eğitim Kaybı: 0.1701, Doğrulama Kaybı: 0.1670
Epoch 179/500: Eğitim Kaybı: 0.1701, Doğrulama Kaybı: 0.1670
Epoch 180/500: Eğitim Kaybı: 0.1701, Doğrulama Kaybı: 0.1670
Epoch 181/500: Eğitim Kaybı: 0.1701, Doğrulama Kaybı: 0.1670
Epoch 182/500: Eğitim Kaybı: 0.1701, Doğrulama Kaybı: 0.1670
Epoch 183/500: Eğitim Kaybı: 0.1700, Doğrulama Kaybı: 0.1670
Epoch 184/500: Eğitim Kaybı: 0.1700, Doğrulama Kaybı: 0.1669
Epoch 185/500: Eğitim Kaybı: 0.1700, Doğrulama Kaybı: 0.1669
Epoch 186/500: Eğitim Kaybı: 0.1700, Doğrulama Kaybı: 0.1669
Epoch 187/500: Eğitim Kaybı: 0.1700, Doğrulama Kaybı: 0.1669
Epoch 188/500: Eğitim Kaybı: 0.1700, Doğrulama Kaybı: 0.1669
Epoch 189/500: Eğitim Kaybı: 0.1700, Doğrulama Kaybı: 0.1669
Epoch 190/500: Eğitim Kaybı: 0.1700, Doğrulama Kaybı: 0.1669
Epoch 191/500: Eğitim Kaybı: 0.1699, Doğrulama Kaybı: 0.1669
Epoch 192/500: Eğitim Kaybı: 0.1699, Doğrulama Kaybı: 0.1669
Epoch 193/500: Eğitim Kaybı: 0.1699, Doğrulama Kaybı: 0.1669
Epoch 194/500: Eğitim Kaybı: 0.1699, Doğrulama Kaybı: 0.1668
Epoch 195/500: Eğitim Kaybı: 0.1698, Doğrulama Kaybı: 0.1668
Epoch 196/500: Eğitim Kaybı: 0.1698, Doğrulama Kaybı: 0.1667
Epoch 197/500: Eğitim Kaybı: 0.1698, Doğrulama Kaybı: 0.1667
Epoch 198/500: Eğitim Kaybı: 0.1698, Doğrulama Kaybı: 0.1667
Epoch 199/500: Eğitim Kaybı: 0.1698, Doğrulama Kaybı: 0.1667
Epoch 200/500: Eğitim Kaybı: 0.1698, Doğrulama Kaybı: 0.1667
Epoch 201/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1667
Epoch 202/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1667
Epoch 203/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1667
Epoch 204/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1667
Epoch 205/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1666
Epoch 206/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1666
Epoch 207/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1666
Epoch 208/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1666
Epoch 209/500: Eğitim Kaybı: 0.1697, Doğrulama Kaybı: 0.1666
Epoch 210/500: Eğitim Kaybı: 0.1696, Doğrulama Kaybı: 0.1666
Epoch 211/500: Eğitim Kaybı: 0.1696, Doğrulama Kaybı: 0.1666
Epoch 212/500: Eğitim Kaybı: 0.1696, Doğrulama Kaybı: 0.1666
Epoch 213/500: Eğitim Kaybı: 0.1696, Doğrulama Kaybı: 0.1666
Epoch 214/500: Eğitim Kaybı: 0.1696, Doğrulama Kaybı: 0.1665
Epoch 215/500: Eğitim Kaybı: 0.1696, Doğrulama Kaybı: 0.1665
Epoch 216/500: Eğitim Kaybı: 0.1696, Doğrulama Kaybı: 0.1665
Epoch 217/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1665
Epoch 218/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1665
Epoch 219/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1665
Epoch 220/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1665
Epoch 221/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1665
Epoch 222/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1664
Epoch 223/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1664
Epoch 224/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1664
Epoch 225/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1664
Epoch 226/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1664
Epoch 227/500: Eğitim Kaybı: 0.1695, Doğrulama Kaybı: 0.1664
Epoch 228/500: Eğitim Kaybı: 0.1694, Doğrulama Kaybı: 0.1664
Epoch 229/500: Eğitim Kaybı: 0.1694, Doğrulama Kaybı: 0.1664
Epoch 230/500: Eğitim Kaybı: 0.1694, Doğrulama Kaybı: 0.1664
Epoch 231/500: Eğitim Kaybı: 0.1694, Doğrulama Kaybı: 0.1663
