Model Eğitim Logları
==================================================

Veri Yükleme Tamamlandı
Toplam Veri Sayısı: 4237907
Veri Temizleme Atlandı
Bant Geçiş Filtresi Uygulandı: 1-499 Hz
Sınıf Dağılımı (Dengeleme Sonrası):
class
0    2725157
1    2725157
2    2725157
3    2725157
4    2725157
5    2725157
6    2725157
7    2725157
Name: count, dtype: int64

Özellik Çıkarımı Tamamlandı: 436024 örnek
Eğitim, Doğrulama ve Test Setleri Ayrıldı
Veri Normalizasyonu Tamamlandı
Epoch 1/500: Eğitim Kaybı: 0.9686, Doğrulama Kaybı: 0.9651
Epoch 2/500: Eğitim Kaybı: 0.6074, Doğrulama Kaybı: 0.6057
Epoch 3/500: Eğitim Kaybı: 0.5212, Doğrulama Kaybı: 0.5169
Epoch 4/500: Eğitim Kaybı: 0.4715, Doğrulama Kaybı: 0.4700
Epoch 5/500: Eğitim Kaybı: 0.4374, Doğrulama Kaybı: 0.4338
Epoch 6/500: Eğitim Kaybı: 0.4102, Doğrulama Kaybı: 0.4088
Epoch 7/500: Eğitim Kaybı: 0.3895, Doğrulama Kaybı: 0.3863
Epoch 8/500: Eğitim Kaybı: 0.3702, Doğrulama Kaybı: 0.3689
Epoch 9/500: Eğitim Kaybı: 0.3551, Doğrulama Kaybı: 0.3523
Epoch 10/500: Eğitim Kaybı: 0.3387, Doğrulama Kaybı: 0.3375
Epoch 11/500: Eğitim Kaybı: 0.3264, Doğrulama Kaybı: 0.3238
Epoch 12/500: Eğitim Kaybı: 0.3089, Doğrulama Kaybı: 0.3077
Epoch 13/500: Eğitim Kaybı: 0.2969, Doğrulama Kaybı: 0.2944
Epoch 14/500: Eğitim Kaybı: 0.2670, Doğrulama Kaybı: 0.2651
Epoch 15/500: Eğitim Kaybı: 0.2610, Doğrulama Kaybı: 0.2581
Epoch 16/500: Eğitim Kaybı: 0.2553, Doğrulama Kaybı: 0.2527
Epoch 17/500: Eğitim Kaybı: 0.2524, Doğrulama Kaybı: 0.2506
Epoch 18/500: Eğitim Kaybı: 0.2515, Doğrulama Kaybı: 0.2492
Epoch 19/500: Eğitim Kaybı: 0.2507, Doğrulama Kaybı: 0.2487
Epoch 20/500: Eğitim Kaybı: 0.2501, Doğrulama Kaybı: 0.2478
Epoch 21/500: Eğitim Kaybı: 0.2491, Doğrulama Kaybı: 0.2472
Epoch 22/500: Eğitim Kaybı: 0.2483, Doğrulama Kaybı: 0.2460
Epoch 23/500: Eğitim Kaybı: 0.2383, Doğrulama Kaybı: 0.2373
Epoch 24/500: Eğitim Kaybı: 0.2333, Doğrulama Kaybı: 0.2315
Epoch 25/500: Eğitim Kaybı: 0.2322, Doğrulama Kaybı: 0.2301
Epoch 26/500: Eğitim Kaybı: 0.2316, Doğrulama Kaybı: 0.2298
Epoch 27/500: Eğitim Kaybı: 0.2308, Doğrulama Kaybı: 0.2297
Epoch 28/500: Eğitim Kaybı: 0.2302, Doğrulama Kaybı: 0.2287
Epoch 29/500: Eğitim Kaybı: 0.2285, Doğrulama Kaybı: 0.2263
Epoch 30/500: Eğitim Kaybı: 0.2274, Doğrulama Kaybı: 0.2256
Epoch 31/500: Eğitim Kaybı: 0.2271, Doğrulama Kaybı: 0.2256
Epoch 32/500: Eğitim Kaybı: 0.2267, Doğrulama Kaybı: 0.2253
Epoch 33/500: Eğitim Kaybı: 0.2265, Doğrulama Kaybı: 0.2252
Epoch 34/500: Eğitim Kaybı: 0.2264, Doğrulama Kaybı: 0.2249
Epoch 35/500: Eğitim Kaybı: 0.2262, Doğrulama Kaybı: 0.2249
Epoch 36/500: Eğitim Kaybı: 0.2260, Doğrulama Kaybı: 0.2246
Epoch 37/500: Eğitim Kaybı: 0.2258, Doğrulama Kaybı: 0.2246
Epoch 38/500: Eğitim Kaybı: 0.2256, Doğrulama Kaybı: 0.2242
Epoch 39/500: Eğitim Kaybı: 0.2245, Doğrulama Kaybı: 0.2237
Epoch 40/500: Eğitim Kaybı: 0.2235, Doğrulama Kaybı: 0.2223
Epoch 41/500: Eğitim Kaybı: 0.2233, Doğrulama Kaybı: 0.2219
Epoch 42/500: Eğitim Kaybı: 0.2231, Doğrulama Kaybı: 0.2219
Epoch 43/500: Eğitim Kaybı: 0.2228, Doğrulama Kaybı: 0.2214
Epoch 44/500: Eğitim Kaybı: 0.2226, Doğrulama Kaybı: 0.2214
Epoch 45/500: Eğitim Kaybı: 0.2219, Doğrulama Kaybı: 0.2211
Epoch 46/500: Eğitim Kaybı: 0.2213, Doğrulama Kaybı: 0.2202
Epoch 47/500: Eğitim Kaybı: 0.2210, Doğrulama Kaybı: 0.2198
Epoch 48/500: Eğitim Kaybı: 0.2209, Doğrulama Kaybı: 0.2197
Epoch 49/500: Eğitim Kaybı: 0.2120, Doğrulama Kaybı: 0.2114
Epoch 50/500: Eğitim Kaybı: 0.2118, Doğrulama Kaybı: 0.2112
Epoch 51/500: Eğitim Kaybı: 0.2117, Doğrulama Kaybı: 0.2112
Epoch 52/500: Eğitim Kaybı: 0.2106, Doğrulama Kaybı: 0.2095
Epoch 53/500: Eğitim Kaybı: 0.2098, Doğrulama Kaybı: 0.2091
Epoch 54/500: Eğitim Kaybı: 0.2096, Doğrulama Kaybı: 0.2091
Epoch 55/500: Eğitim Kaybı: 0.2095, Doğrulama Kaybı: 0.2090
Epoch 56/500: Eğitim Kaybı: 0.2095, Doğrulama Kaybı: 0.2090
Epoch 57/500: Eğitim Kaybı: 0.2094, Doğrulama Kaybı: 0.2089
Epoch 58/500: Eğitim Kaybı: 0.2093, Doğrulama Kaybı: 0.2089
Epoch 59/500: Eğitim Kaybı: 0.2093, Doğrulama Kaybı: 0.2088
Epoch 60/500: Eğitim Kaybı: 0.2088, Doğrulama Kaybı: 0.2086
Epoch 61/500: Eğitim Kaybı: 0.2084, Doğrulama Kaybı: 0.2080
Epoch 62/500: Eğitim Kaybı: 0.2083, Doğrulama Kaybı: 0.2078
Epoch 63/500: Eğitim Kaybı: 0.2083, Doğrulama Kaybı: 0.2079
Epoch 64/500: Eğitim Kaybı: 0.2082, Doğrulama Kaybı: 0.2077
Epoch 65/500: Eğitim Kaybı: 0.2082, Doğrulama Kaybı: 0.2078
Epoch 66/500: Eğitim Kaybı: 0.2081, Doğrulama Kaybı: 0.2077
Epoch 67/500: Eğitim Kaybı: 0.2080, Doğrulama Kaybı: 0.2077
Epoch 68/500: Eğitim Kaybı: 0.2079, Doğrulama Kaybı: 0.2075
Epoch 69/500: Eğitim Kaybı: 0.2050, Doğrulama Kaybı: 0.2042
Epoch 70/500: Eğitim Kaybı: 0.2022, Doğrulama Kaybı: 0.2020
Epoch 71/500: Eğitim Kaybı: 0.2021, Doğrulama Kaybı: 0.2020
Epoch 72/500: Eğitim Kaybı: 0.2016, Doğrulama Kaybı: 0.2010
Epoch 73/500: Eğitim Kaybı: 0.2014, Doğrulama Kaybı: 0.2011
Epoch 74/500: Eğitim Kaybı: 0.2013, Doğrulama Kaybı: 0.2009
Epoch 75/500: Eğitim Kaybı: 0.2012, Doğrulama Kaybı: 0.2010
Epoch 76/500: Eğitim Kaybı: 0.2011, Doğrulama Kaybı: 0.2009
Epoch 77/500: Eğitim Kaybı: 0.2011, Doğrulama Kaybı: 0.2009
Epoch 78/500: Eğitim Kaybı: 0.2010, Doğrulama Kaybı: 0.2008
Epoch 79/500: Eğitim Kaybı: 0.2008, Doğrulama Kaybı: 0.2004
Epoch 80/500: Eğitim Kaybı: 0.2006, Doğrulama Kaybı: 0.2004
Epoch 81/500: Eğitim Kaybı: 0.2006, Doğrulama Kaybı: 0.2004
Epoch 82/500: Eğitim Kaybı: 0.2005, Doğrulama Kaybı: 0.2003
Epoch 83/500: Eğitim Kaybı: 0.2004, Doğrulama Kaybı: 0.2003
Epoch 84/500: Eğitim Kaybı: 0.2003, Doğrulama Kaybı: 0.2001
Epoch 85/500: Eğitim Kaybı: 0.2003, Doğrulama Kaybı: 0.2000
Epoch 86/500: Eğitim Kaybı: 0.2002, Doğrulama Kaybı: 0.2001
Epoch 87/500: Eğitim Kaybı: 0.2002, Doğrulama Kaybı: 0.2000
Epoch 88/500: Eğitim Kaybı: 0.2002, Doğrulama Kaybı: 0.2000
Epoch 89/500: Eğitim Kaybı: 0.2002, Doğrulama Kaybı: 0.1999
Epoch 90/500: Eğitim Kaybı: 0.2001, Doğrulama Kaybı: 0.2000
Epoch 91/500: Eğitim Kaybı: 0.2001, Doğrulama Kaybı: 0.1999
Epoch 92/500: Eğitim Kaybı: 0.2001, Doğrulama Kaybı: 0.1999
Epoch 93/500: Eğitim Kaybı: 0.2000, Doğrulama Kaybı: 0.1998
Epoch 94/500: Eğitim Kaybı: 0.1997, Doğrulama Kaybı: 0.1997
Epoch 95/500: Eğitim Kaybı: 0.1994, Doğrulama Kaybı: 0.1992
Epoch 96/500: Eğitim Kaybı: 0.1994, Doğrulama Kaybı: 0.1992
Epoch 97/500: Eğitim Kaybı: 0.1993, Doğrulama Kaybı: 0.1992
Epoch 98/500: Eğitim Kaybı: 0.1993, Doğrulama Kaybı: 0.1991
Epoch 99/500: Eğitim Kaybı: 0.1990, Doğrulama Kaybı: 0.1986
Epoch 100/500: Eğitim Kaybı: 0.1987, Doğrulama Kaybı: 0.1985
Epoch 101/500: Eğitim Kaybı: 0.1987, Doğrulama Kaybı: 0.1986
Epoch 102/500: Eğitim Kaybı: 0.1987, Doğrulama Kaybı: 0.1985
Epoch 103/500: Eğitim Kaybı: 0.1986, Doğrulama Kaybı: 0.1985
Epoch 104/500: Eğitim Kaybı: 0.1986, Doğrulama Kaybı: 0.1984
Epoch 105/500: Eğitim Kaybı: 0.1985, Doğrulama Kaybı: 0.1982
Epoch 106/500: Eğitim Kaybı: 0.1984, Doğrulama Kaybı: 0.1982
Epoch 107/500: Eğitim Kaybı: 0.1984, Doğrulama Kaybı: 0.1983
Epoch 108/500: Eğitim Kaybı: 0.1983, Doğrulama Kaybı: 0.1981
Epoch 109/500: Eğitim Kaybı: 0.1982, Doğrulama Kaybı: 0.1979
Epoch 110/500: Eğitim Kaybı: 0.1981, Doğrulama Kaybı: 0.1979
Epoch 111/500: Eğitim Kaybı: 0.1981, Doğrulama Kaybı: 0.1980
Epoch 112/500: Eğitim Kaybı: 0.1981, Doğrulama Kaybı: 0.1979
Epoch 113/500: Eğitim Kaybı: 0.1978, Doğrulama Kaybı: 0.1977
Epoch 114/500: Eğitim Kaybı: 0.1976, Doğrulama Kaybı: 0.1974
Epoch 115/500: Eğitim Kaybı: 0.1976, Doğrulama Kaybı: 0.1973
Epoch 116/500: Eğitim Kaybı: 0.1975, Doğrulama Kaybı: 0.1974
Epoch 117/500: Eğitim Kaybı: 0.1975, Doğrulama Kaybı: 0.1973
Epoch 118/500: Eğitim Kaybı: 0.1974, Doğrulama Kaybı: 0.1972
Epoch 119/500: Eğitim Kaybı: 0.1974, Doğrulama Kaybı: 0.1972
Epoch 120/500: Eğitim Kaybı: 0.1974, Doğrulama Kaybı: 0.1972
Epoch 121/500: Eğitim Kaybı: 0.1973, Doğrulama Kaybı: 0.1971
Epoch 122/500: Eğitim Kaybı: 0.1973, Doğrulama Kaybı: 0.1971
